0040a5b8439fe71f71b98ad276fca7a3,Archaea,Crenarchaeota,Bathyarchaeia,Bathyarchaeia_or,Bathyarchaeia_fa,Bathyarchaeia_ge
0044236768672d77ee676f4049e5c7c6,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
00457d6b3370b6b013aa08c4295e4750,unknown,unknown_unclassified,unknown_unclassified,unknown_unclassified,unknown_unclassified,unknown_unclassified
0046345944d6d621341cbf643ea73390,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,ML635J-40_aquatic_group,ML635J-40_aquatic_group_ge
0046dcc4b1e2e82c017e83e31122efae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio
0047fedb2752e996cfa7e21b04cfea4d,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
004d7b2f1b4dbcc27e0924a2746d6681,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge
0055877fa600abc66f52796d58423759,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gimesiaceae,Gimesiaceae_uncultured
0057608b3910b3bac8a16e24f8c10db5,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
005d26c27a00c45068c6454d1abd6d56,Bacteria,Atribacteria,JS1,JS1_or,JS1_fa,JS1_ge
005deb9e50930d9e21d32071b889171a,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
005e92397a0a55feecbd0fb1940d0058,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
005f5caacef1ad37d17080bac5b4541d,Bacteria,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionia_uncultured_or,Thermodesulfovibrionia_uncultured_fa,Thermodesulfovibrionia_uncultured_ge
00600f4d686d42dc5f21d39a07d5a0ad,Bacteria,Actinobacteria,Coriobacteriia,OPB41,OPB41_fa,OPB41_ge
006250226266b41e3b3025205e79bd73,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031_fa,SBR1031_ge
0062e1bb525b68c55353e5e1f693e121,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,AKAU3564_sediment_group,AKAU3564_sediment_group_ge
006550b5dd4efea956698969e4e6a7d7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_ge
0067f0e889a830f395c92cb76961e257,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
006917fc3ce98235b1d52753d86b2707,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_uncultured
006c8d85bccf5a796519252685ba9da4,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge
006dd2e9c8ab8d8fb814ccab1707940a,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
006ed210026be500a3814f42df0fa663,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacterales_unclassified,Fibrobacterales_unclassified
00709c45e81e41a19a0d7363435d76a5,Bacteria,Modulibacteria,Moduliflexia,Moduliflexales,Moduliflexaceae,Moduliflexaceae_ge
00732965d060408d9bce3958748919db,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
0076874f66d380ee4fcceed855d4d2dd,Bacteria,Aerophobetes,Aerophobetes_cl,Aerophobetes_or,Aerophobetes_fa,Aerophobetes_ge
