"","site1","site2","geodist","Ed","sor"
"1","AK03_C1_01","AK03_C1_04",7.5e-05,0.985312816606845,0.348474753856659
"2","AK03_C1_01","AK03_C1_08",0.00018,0.97500740525336,0.205708278179169
"3","AK03_C1_01","AK03_C1_12",0.00028,0.982260836221091,0.176290405750275
"4","AK03_C1_01","AK03_C1_13",0.000305,0.967974741028342,0.171678317546844
"5","AK03_C1_01","AK03_C1_16",0.00038,0.965794167317726,0.167355133056641
"6","AK03_C1_01","AK03_C1_19",0.000455,0.879151458602128,0.158653510570526
"7","AK03_C1_01","AK03_C1_ew",0.0004775,0.87821810968766,0.161073578357697
"8","AK03_C1_01","AR01_C1_01",2802.715411,0.700319047435375,0.010208083152771
"9","AK03_C1_01","AR01_C1_02",2802.715411,0.704732283627992,0.0105238089561462
"10","AK03_C1_01","AR01_C1_05",2802.715411,0.718289044307832,0.00516666269302368
"11","AK03_C1_01","AR01_C1_09",2802.715411,0.708752744357366,0.00690842962265015
"12","AK03_C1_01","AR01_C1_13",2802.715411,0.66665047852382,0.00656069612503052
"13","AK03_C1_01","AR01_C1_17",2802.715411,0.710356991631549,0.00816418027877808
"14","AK03_C1_01","AR01_C1_18",2802.715411,0.690755885140182,0.00835294818878174
"15","AK03_C1_01","AR01_C1_19",2802.715411,0.753090564810629,0.00957448577880859
"16","AK03_C1_01","AR01_C1_22",2802.715411,0.718263919566432,0.00629569387435913
"17","AK03_C1_01","AR01_C1_ew",2802.715411,0.738071406626522,0.00552488660812378
"18","AK03_C1_01","COM01_C1_01",2795.942394,0.802395874269845,0.0116101036071777
"19","AK03_C1_01","COM01_C1_02",2795.942394,0.808492189621665,0.00608904457092285
"20","AK03_C1_01","COM01_C1_04",2795.942394,0.765353101323642,0.00726957416534424
"21","AK03_C1_01","COM01_C1_05",2795.942394,0.801516042990601,0.00519288873672485
"22","AK03_C1_01","COM01_C1_08",2795.942394,0.815356322263007,0.00341255760192871
"23","AK03_C1_01","COM01_C1_11",2795.942394,0.739724907041205,0.00343902206420898
"24","AK03_C1_01","COM01_C1_14",2795.942394,0.770949077948284,0.00513221120834351
"25","AK03_C1_01","COM01_C1_15",2795.942394,0.778657053165712,0.00557143783569336
"26","AK03_C1_01","COM01_C1_17",2795.942394,0.795511045687207,0.00464965200424194
"27","AK03_C1_01","COM01_C1_18",2795.942394,0.793606314035272,0.00918830728530884
"28","AK03_C1_01","COM01_ew1",2795.942394,0.754689760492455,0.00446022844314575
"29","AK03_C1_01","DSZ01_C1_01",3167.804296,0.804119877962548,0.040301335811615
"30","AK03_C1_01","DSZ01_C1_02",3167.804296,0.806298067863168,0.0311507711410522
"31","AK03_C1_01","DSZ01_C1_03",3167.804296,0.808914249476193,0.0287777910232544
"32","AK03_C1_01","DSZ01_C1_06",3167.804296,0.872994416629546,0.0190505514144897
"33","AK03_C1_01","DSZ01_C1_08",3167.804296,0.858258434716807,0.0270162353515625
"34","AK03_C1_01","DSZ01_C1_10",3167.804296,0.849573697312058,0.0262366065979004
"35","AK03_C1_01","GG01_C1_0",873.3556564,0.12886273170662,0.00346912240982056
"36","AK03_C1_01","GG01_C1_02",873.3556564,0.22072977451422,0.00813014602661133
"37","AK03_C1_01","GG01_C1_06",873.3556564,0.287376626789785,0.00560827350616455
"38","AK03_C1_01","GG01_C1_13",873.3556564,0.313208277271168,0.0049292573928833
